0d sh-scramble,0d sh-circHomer1,3d sh-scramble,3d sh-circHomer1,7d sh-scramble,7d sh-circHomer1
0.878,0.583,0.359,0.469,1.506,0.383
1.388,1.139,1.783,0.453,1.902,0.651
1.705,0.85,0.34,0.665,0.895,0.933
1.106,0.728,0.749,0.476,0.649,0.217
0.745,0.591,0.759,0.314,0.941,0.929
1.274,0.473,0.368,0.534,0.382,0.66
0.743,0.647,1.002,0.501,0.894,1.317
2.403,0.752,0.65,0.827,0.917,1.928
0.571,0.455,1.359,1.129,0.579,2.15
1.039,0.56,1.801,0.716,0.883,1.561
1.185,0.465,1.104,0.386,0.625,0.333
0.715,1.609,0.721,0.259,0.886,0.938
1.667,0.412,0.992,1.268,0.389,0.337
0.925,0.75,0.675,1.591,0.602,0.614
1.004,0.617,0.869,0.76,0.431,0.486
1.656,0.15,0.776,0.674,0.875,0.434
2.544,0.651,0.5,0.34,0.395,0.751
0.686,0.538,1.253,0.485,0.247,1.654
1.077,0.965,0.571,0.693,0.749,0.453
0.632,1.144,0.425,0.497,0.778,0.243
0.502,1.296,0.806,0.614,0.535,0.56
1.394,1.241,0.715,0.495,0.403,0.624
0.502,0.75,0.459,1.045,0.761,0.549
0.884,0.651,0.381,0.9,1.461,0.926
1.963,0.506,0.601,0.368,0.353,1.02
1.582,0.412,0.588,0.25,0.461,2.434
1.285,0.751,1.17,0.486,0.447,0.844
1.122,0.84,0.825,0.24,0.475,0.846
0.626,1.439,1.38,0.348,1.253,0.403
1.696,1.576,0.53,0.772,0.975,0.709
0.794,0.696,0.552,0.237,0.559,0.56
0.625,1.05,0.475,0.594,0.605,1.771
1.36,0.461,0.782,0.39,1.096,0.739
1.058,0.566,0.431,0.56,0.465,0.64
1.103,0.355,0.97,0.425,1.323,0.667
0.906,1.336,0.715,0.663,0.854,0.622
0.791,0.481,0.721,0.34,0.337,0.33
1.109,0.412,0.697,1.056,1.217,0.477
0.773,0.738,0.45,1.725,0.35,0.378
0.667,1.96,0.66,1.594,0.213,1.273
0.497,0.566,0.437,0.778,0.836,0.64
0.608,1.36,0.414,0.284,0.307,0.56
0.942,0.461,0.65,0.811,0.388,0.686
1.037,0.61,1.068,0.866,1.015,1.1
0.448,0.917,0.707,0.403,0.471,0.468
0.403,0.412,0.506,0.285,0.288,0.544
0.66,0.452,0.43,0.3,0.36,0.924
1.11,0.424,0.471,0.7,0.288,0.519
0.906,1.892,0.592,0.448,0.849,0.601
0.903,0.801,0.728,0.902,0.538,0.388
1.402,0.353,0.855,0.405,0.783,0.915
0.35,0.825,0.711,0.348,0.466,1.387
0.425,0.629,0.728,0.217,0.783,0.655
0.464,0.878,0.672,0.38,1.561,1.237
1.386,0.32,0.525,1.938,0.444,0.634
0.4,0.255,1.249,0.353,0.523,0.693
0.97,0.26,0.749,0.895,0.466,0.88
0.654,0.602,0.64,0.34,0.433,1.263
0.797,1.713,1.343,0.601,0.236,0.591
0.863,0.951,1.136,0.2,1.003,0.285
0.519,0.381,0.657,0.917,0.638,0.554
1.151,0.801,0.649,0.707,0.589,0.715
1.222,0.589,0.6,0.683,0.298,0.575
1.404,0.203,0.356,0.919,1.314,1.123
0.707,1.955,0.501,0.777,0.517,0.383
1.843,0.887,0.869,0.567,0.492,0.457
0.36,0.802,0.583,0.884,0.612,0.538
0.486,0.83,1.263,1.068,0.392,1.099
0.959,0.579,0.501,0.36,1.133,0.56
1.344,0.403,0.438,0.843,0.7,0.476
1.179,0.685,0.709,0.634,0.284,0.194
1.555,0.928,0.32,0.67,0.589,1.54
1.023,0.685,0.811,1.14,0.706,0.823
1.265,0.75,0.48,0.603,0.246,0.538
0.4,0.401,0.486,0.537,0.337,0.483
1.133,0.464,0.549,0.477,0.149,1.949
1.155,0.596,0.427,0.453,0.203,0.813
1.248,0.755,0.754,0.983,1.203,0.9
0.687,0.699,0.994,0.551,0.366,1.426
0.31,1.117,0.846,1.192,0.57,1.486
0.873,1.216,0.386,0.497,0.307,0.968
2.177,1.076,0.4,0.876,0.34,1.14
1.393,0.895,1.183,0.851,0.383,1.085
0.39,1.837,1.065,0.55,0.596,1.636
0.984,1.725,2.191,0.534,0.521,0.738
0.593,0.438,0.835,0.984,0.433,0.562
2.152,0.537,1.043,0.407,0.288,0.835
0.832,0.56,0.98,0.287,0.4,0.217
0.982,0.538,0.372,0.486,0.55,0.594
0.455,2.482,0.736,0.792,0.369,0.604
1.338,1.033,0.894,0.377,0.472,0.894
0.95,1.126,0.601,0.288,0.24,0.887
0.331,0.612,0.957,0.368,0.583,0.457
0.734,0.634,0.869,1.111,0.425,0.696
1.344,1.05,0.984,0.366,0.551,0.59
0.917,0.909,0.542,0.685,0.284,0.419
0.895,0.255,0.434,0.566,0.223,0.433
0.903,1.017,1.584,1.449,0.542,0.314
0.778,0.589,0.477,1.222,0.504,0.95
0.663,0.51,0.4,0.52,0.276,0.501
1.085,0.403,0.716,1.348,1.034,1.061
1.487,0.381,0.457,0.835,0.848,0.811
0.656,0.755,0.544,0.715,0.759,1.446
0.469,0.795,0.486,0.57,0.76,0.667
0.401,0.961,1.411,1.307,0.899,0.603
0.916,1.014,0.636,1.273,0.777,0.835
0.38,0.596,1.007,2.017,0.696,0.647
0.851,0.601,0.876,1.503,0.455,0.411
2.975,0.443,1.317,0.466,0.403,0.811
1.1,1.281,1.128,1.156,0.288,0.504
1.222,0.822,0.824,0.433,0.411,0.566
1.36,0.864,0.761,0.76,0.519,1.349
0.688,1.24,1.117,0.434,0.889,0.425
0.839,0.608,0.851,1.123,0.495,0.636
0.982,0.933,0.675,0.754,0.634,1.137
1.414,0.865,0.849,0.769,1.173,0.643
1.081,0.996,0.992,0.223,0.708,0.636
0.756,0.562,0.54,0.921,0.477,0.307
0.97,0.254,0.901,1.313,0.699,0.565
0.784,1.012,1.693,0.712,0.544,0.943
1.892,0.707,0.364,0.805,1.111,0.887
2.384,0.529,0.522,0.317,0.805,0.754
1.312,0.504,0.682,0.833,0.517,0.392
0.7,0.95,0.57,0.917,0.386,0.667
0.816,0.534,1.039,0.767,0.48,0.434
0.57,0.465,0.686,0.222,0.77,0.317
2.086,0.734,0.86,1.575,0.591,0.434
0.827,0.818,0.951,0.938,0.419,0.814
0.728,0.804,0.772,0.651,0.569,0.48
0.728,0.895,1.054,0.909,0.719,1.103
0.465,0.573,0.917,0.783,0.327,0.622
1.1,1.275,2.284,1.155,0.883,0.353
1.088,0.45,1.709,0.473,0.523,0.582
0.552,0.602,0.71,0.596,0.35,0.66
0.75,0.618,0.943,1.027,0.602,0.495
1.142,0.471,1.286,1.678,0.425,0.359
1.903,0.523,0.794,1.104,0.647,0.693
0.901,1.023,0.743,1.373,0.813,0.523
0.745,2.279,,0.734,0.337,0.75
0.618,0.71,,0.567,0.48,0.378
0.79,0.495,,0.57,0.98,0.285
1.788,0.424,,0.566,0.754,0.327
0.559,0.43,,0.856,0.263,0.477
1.413,0.877,,0.314,1.339,0.368
1.652,1.098,,0.486,0.354,0.928
1.138,0.797,,0.624,0.69,0.453
0.67,0.814,,1.16,1.268,0.403
0.813,0.764,,0.483,0.151,0.401
2.708,1.23,,0.663,0.412,0.849
1.307,0.634,,1.503,1.039,0.56
2.205,0.857,,0.797,0.612,0.948
1.185,0.667,,1.119,1.237,0.666
1.457,1.025,,0.287,0.884,0.731
2.539,0.883,,0.973,0.916,0.994
1,0.403,,0.721,1.185,0.549
2.486,1.075,,1.401,0.368,0.477
1.04,0.459,,1.662,0.188,0.236
0.828,0.481,,0.537,0.79,
1.236,1.165,,0.849,0.466,
1.382,0.431,,0.57,0.263,
1.511,0.97,,0.167,0.434,
0.364,0.84,,0.255,0.971,
0.626,0.559,,0.306,1.406,
1.483,0.492,,1.133,0.507,
0.797,0.506,,1.119,0.295,
1.224,0.629,,0.317,0.797,
1.628,0.5,,0.141,0.447,
0.382,0.559,,1.101,0.337,
1.253,0.592,,0.95,1.426,
0.694,0.917,,0.448,1.99,
0.443,0.496,,1.02,0.36,
0.883,0.707,,0.284,0.517,
0.883,0.412,,0.43,0.583,
1.788,0.565,,0.236,0.731,
0.283,0.447,,0.611,0.48,
0.832,0.667,,0.57,1.135,
1.442,0.502,,0.287,0.412,
1.039,0.715,,1,1.233,
0.735,0.822,,0.728,0.906,
1.758,0.427,,0.432,0.582,
0.461,1.843,,1.705,0.51,
1.116,0.781,,0.767,0.529,
1.668,0.838,,1.007,0.306,
0.86,0.728,,0.34,0.368,
1.971,0.886,,0.551,0.457,
0.64,1.611,,0.565,1.21,
1.162,0.601,,0.68,0.556,
1.457,0.75,,0.32,1.081,
0.55,1.25,,1.368,1.404,
1.03,2.039,,0.537,0.709,
2.519,0.6,,0.405,0.616,
1.375,0.506,,2.045,0.79,
0.986,0.632,,1.14,0.567,
2.588,0.65,,0.497,0.291,
1.77,0.816,,0.967,0.465,
0.949,1.486,,0.49,0.546,
0.919,0.475,,1.169,0.427,
1.131,0.951,,1.133,1.233,
1.131,0.535,,0.368,0.596,
1.531,0.369,,0.857,0.403,
1.407,0.57,,0.401,0.856,
2.697,1.374,,0.388,1.43,
1.241,0.443,,0.378,0.527,
1.922,0.506,,0.425,0.383,
1.324,0.679,,0.589,0.759,
0.425,0.549,,0.425,0.386,
1.006,1.061,,1.935,0.679,
0.894,0.326,,0.934,0.31,
1.474,1.267,,0.504,0.64,
0.694,0.514,,0.401,0.369,
0.955,0.465,,0.651,0.967,
1.308,0.285,,0.523,1.845,
1.824,0.481,,0.378,0.519,
1.192,0.395,,0.517,0.629,
0.894,0.495,,0.223,0.372,
0.637,0.304,,0.36,0.66,
1.267,0.538,,0.693,1.298,
1.579,0.667,,0.99,1.418,
1.624,1.303,,0.381,0.863,
1.22,1.424,,0.75,0.381,
0.481,0.982,,1.067,0.337,
1.276,0.601,,0.703,0.606,
0.704,1.179,,0.618,0.48,
0.39,0.381,,0.611,0.504,
1.629,0.957,,0.589,0.618,
0.51,0.45,,0.284,0.674,
0.884,0.742,,1.888,0.938,
1.8,0.784,,0.823,0.5,
1.1,1.091,,0.579,1.183,
1.748,0.459,,1.001,1.25,
0.667,0.601,,0.78,0.327,
0.97,0.481,,1.154,1.78,
1.312,0.491,,0.497,0.433,
1.077,0.65,,0.411,0.565,
1.188,0.403,,0.675,0.643,
2.23,0.701,,0.307,0.386,
1.253,0.592,,0.472,1.225,
0.6,0.99,,0.818,0.843,
0.708,0.843,,0.569,0.447,
1.3,1.196,,0.792,0.666,
0.801,0.601,,,0.237,
0.84,0.71,,,0.434,
0.834,1.082,,,0.421,
1.648,1.551,,,0.666,
1.96,0.452,,,0.495,
1.353,1.565,,,0.801,
0.675,0.708,,,1.114,
1.043,1.206,,,0.629,
1.289,1.504,,,0.354,
1.399,0.585,,,0.263,
1.011,0.247,,,0.356,
1.674,0.538,,,0.945,
0.32,1.049,,,1.297,
1.245,0.427,,,0.455,
1.989,0.502,,,0.943,
1.15,0.412,,,1.445,
1.602,0.414,,,0.613,
0.813,0.559,,,0.368,
1.407,0.51,,,0.841,
1.315,0.605,,,0.589,
0.901,0.601,,,0.797,
0.951,1.307,,,1.35,
1.112,0.608,,,0.76,
0.865,0.43,,,0.76,
0.921,1.503,,,0.764,
0.594,0.605,,,0.307,
1.299,1.345,,,0.471,
1.189,0.834,,,0.638,
0.82,1.525,,,0.841,
0.707,0.481,,,1.252,
1.3,0.99,,,0.407,
1.416,1.438,,,0.675,
0.469,0.579,,,0.994,
0.745,0.61,,,0.872,
0.715,0.79,,,0.495,
0.685,0.759,,,0.45,
1.093,1.394,,,0.602,
0.667,1.253,,,0.769,
0.884,1.943,,,0.237,
0.683,1.407,,,0.74,
0.734,1.364,,,0.675,
0.919,0.495,,,0.284,
2.045,1.029,,,0.579,
1.306,1.049,,,0.269,
0.763,0.424,,,0.634,
0.567,0.535,,,0.575,
0.984,0.492,,,0.544,
1.349,0.961,,,0.285,
1.119,0.601,,,0.433,
0.663,0.813,,,0.307,
1.185,0.474,,,0.731,
1.485,0.525,,,1.248,
0.56,0.506,,,1.835,
0.781,0.605,,,1.8,
0.854,0.728,,,1.634,
1.049,0.632,,,1.85,
0.622,0.57,,,1.261,
0.651,0.975,,,0.434,
0.953,0.917,,,0.444,
1.316,0.824,,,0.935,
1.245,0.883,,,0.706,
1.348,0.425,,,0.448,
1.788,0.403,,,0.538,
0.651,0.697,,,1.466,
0.85,0.566,,,1.233,
0.926,0.382,,,1.046,
0.934,1.28,,,1.085,
0.99,0.778,,,0.443,
0.94,0.431,,,0.529,
1.774,0.908,,,0.49,
0.784,0.707,,,0.486,
0.91,0.629,,,0.583,
0.549,0.657,,,0.348,
0.687,1.159,,,0.664,
0.401,0.637,,,0.295,
0.726,0.535,,,0.51,
0.632,0.869,,,0.378,
0.664,1.385,,,0.31,
1.571,0.895,,,0.403,
1.73,1.836,,,1.017,
0.857,0.874,,,0.853,
0.333,1.001,,,1.75,
0.634,0.637,,,0.378,
0.915,1.587,,,0.585,
0.417,1.088,,,1.024,
1.272,2.334,,,0.62,
0.66,0.827,,,0.537,
0.504,1.98,,,0.648,
1.395,0.851,,,0.574,
0.356,2.271,,,1.28,
1.117,0.794,,,0.26,
1.116,0.5,,,0.372,
1.046,1.249,,,1.379,
0.448,0.79,,,0.882,
1.353,0.704,,,1.039,
0.734,0.995,,,0.686,
0.718,0.75,,,0.626,
0.618,0.55,,,0.529,
0.674,1.214,,,0.378,
0.971,1.284,,,0.67,
1.329,0.459,,,0.885,
1.095,0.427,,,0.819,
0.844,1.689,,,1.181,
0.99,1.123,,,1.246,
0.246,0.552,,,0.781,
1.214,0.743,,,1.2,
1.02,0.822,,,0.434,
0.68,0.675,,,0.501,
0.999,0.97,,,0.434,
0.736,0.951,,,0.648,
0.614,0.794,,,0.203,
0.732,0.601,,,0.867,
1.692,1.168,,,0.517,
0.643,0.745,,,1.065,
0.65,1.319,,,0.284,
1.321,0.756,,,0.19,
0.562,1.061,,,0.816,
0.647,0.632,,,0.44,
0.703,0.67,,,0.4,
0.683,1.077,,,0.638,
0.872,1.269,,,0.583,
1.068,0.474,,,0.495,
0.876,0.822,,,0.616,
0.674,0.459,,,0.33,
1.256,0.851,,,0.419,
1.036,1.03,,,1.103,
0.769,0.381,,,0.401,
0.919,0.86,,,0.6,
1.238,1.849,,,0.748,
0.86,0.704,,,0.783,
0.675,1.767,,,0.444,
0.501,0.743,,,0.333,
0.764,1.545,,,0.457,
0.495,0.525,,,0.546,
0.468,0.585,,,0.818,
0.8,0.813,,,0.453,
0.66,0.697,,,0.835,
1.074,2.384,,,0.647,
0.802,0.645,,,0.335,
0.947,0.649,,,0.693,
0.698,0.965,,,0.889,
0.544,0.657,,,0.464,
0.693,0.901,,,1.417,
0.703,1.871,,,0.348,
0.733,1.088,,,1.186,
1.036,0.79,,,0.83,
2.058,0.873,,,0.66,
1.184,0.806,,,0.366,
0.828,0.579,,,0.463,
0.4,0.425,,,0.602,
0.961,0.53,,,1.287,
0.618,0.949,,,0.833,
1.058,0.855,,,0.613,
0.993,0.443,,,0.734,
0.417,0.682,,,0.601,
0.537,0.604,,,0.508,
0.76,1.196,,,0.38,
0.866,0.496,,,0.549,
1.002,0.54,,,0.411,
1.714,0.784,,,0.3,
1.046,1.201,,,1.023,
0.614,0.257,,,0.614,
0.822,0.97,,,0.822,
0.327,0.686,,,0.327,
1.149,0.636,,,1.149,
0.533,0.68,,,0.533,
0.687,0.894,,,0.687,
0.443,0.559,,,0.443,
0.766,0.522,,,0.766,
1.54,0.431,,,1.54,
0.836,0.667,,,0.836,
0.66,0.506,,,0.66,
0.976,0.664,,,0.976,
0.517,0.825,,,0.517,
0.608,0.637,,,0.608,
0.232,0.348,,,0.232,
0.508,0.304,,,0.508,
0.507,0.964,,,0.507,
0.632,0.657,,,0.632,
0.611,0.25,,,0.611,
0.751,0.353,,,0.751,
0.369,0.465,,,0.369,
1.019,0.364,,,1.019,
0.655,1.565,,,0.655,
0.497,2.093,,,0.497,
,0.376,,,,
,1.252,,,,
,1.281,,,,
,1.47,,,,
,0.667,,,,
,0.53,,,,
,0.761,,,,
,0.955,,,,
,1.22,,,,
,1.52,,,,
,0.65,,,,
,0.353,,,,
,1.176,,,,
,0.941,,,,
,0.61,,,,
,0.43,,,,
,0.686,,,,
,1.28,,,,
,0.43,,,,
,1.054,,,,
,2.396,,,,
,0.318,,,,
,0.353,,,,
,0.933,,,,
,0.474,,,,
,0.84,,,,
,0.583,,,,
,0.495,,,,
,0.335,,,,
,0.637,,,,
,1.098,,,,
,0.54,,,,
,0.475,,,,
,0.364,,,,
,0.255,,,,
,0.735,,,,
,0.883,,,,
,1.039,,,,
,0.651,,,,
,0.75,,,,
,0.424,,,,
,1.774,,,,
,0.728,,,,
,1.098,,,,
,0.99,,,,
,1.123,,,,
,0.832,,,,
,1.234,,,,
,0.36,,,,
,1.344,,,,
,0.776,,,,
,1.435,,,,
,0.855,,,,
,0.535,,,,
,0.491,,,,
,0.632,,,,
,0.471,,,,
,0.96,,,,
,0.878,,,,
,1.709,,,,
,1.812,,,,
,1.426,,,,
,0.685,,,,
,1.318,,,,
,0.618,,,,
,0.356,,,,
,0.31,,,,
,0.448,,,,
,0.938,,,,
,0.612,,,,
,0.783,,,,
,0.656,,,,
,1.433,,,,
,0.337,,,,
,0.412,,,,
,0.57,,,,
,0.463,,,,
,0.653,,,,
,0.284,,,,
,1.505,,,,
,0.468,,,,
,1.257,,,,
,0.567,,,,
,0.842,,,,
,0.457,,,,
,1.46,,,,
,0.693,,,,
,0.269,,,,
,0.857,,,,
,0.49,,,,
,0.948,,,,
,0.353,,,,
,0.307,,,,
,0.259,,,,
